"Name","GUID","ProtoFile","CommodityType","DefaultState","CollectionTrigger","Volatility","DefaultCollectionInterval","ShortestCollectionInterval","DefaultConfigState","DefaultCollectionSchedule","DefaultTransmission","Description"
"BluetoothDeviceConnectivityState","8d64908b-e9c0-41c3-a139-225f174d98d3","BluetoothDeviceConnectivityChangeEvent.proto","Sound","Dormant","Periodic","Changeable","00 d 00 hr 30 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","","","Bluetooth device connectivity state"
"BluetoothDeviceConnectivityChangeEvent","ddb31909-bcde-4993-83a8-9d2f75b97d05","BluetoothDeviceConnectivityChangeEvent.proto","Sound","Dormant","EventBased","Changeable","00 d 00 hr 01 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","","","Bluetooth device connectivity change event"
"BluetoothDynamicInfo","30c4302a-5c4c-4516-a6f4-d54e0ec27bca","BluetoothDynamicInfo.proto","Bluetooth","Dormant","Periodic","Changeable","00 d 00 hr 30 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","Midday","","Bluetooth Dynamic Collector"
"BluetoothStaticInfo","cc717346-525e-4092-ba4e-13a316823b72","BluetoothStaticInfo.proto","Bluetooth","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Bluetooth static Collector"
"BootPerformanceInfo","a7f3e2d1-8b4c-4e6f-9a5d-2c1b0e8f7d3a","BootPerformanceInfo.proto","WindowsPerformance","Dormant","EventBased","Changeable","00 d 00 hr 01 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","","","Boot-time per-process performance summary (start time, CPU usage, and disk I/O)."
"BuiltInDisplayInfo","c00e33c7-2e8a-47c4-81eb-3779384b25eb","BuiltInDisplayInfo.proto","Monitor","Dormant","Periodic","Volatile","00 d 00 hr 30 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","","","Built-In Display"
"CableInfo","92366b55-b3ad-4f11-b6a3-8ce7f8351205","CableInfo.proto","Cable","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","OnStartup","","Cable"
"InstalledItemStatus","b22e4895-4a53-4a91-97be-f712d6276983","CableInfo.proto","Cable","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Installed item status (only available on Desktop and All-in-One)"
"CameraActivity","230983fb-e158-41cf-82df-6f12f5d8e565","CameraActivity.proto","Webcam","Dormant","EventBased","Changeable","00 d 00 hr 01 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","","","Camera activity event"
"CameraInfo","8e0c4707-329d-4cd4-ac11-65d8f59a242b","CameraInfo.proto","Webcam","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Camera"
